court_name,oblast_name,raion_name,settlement_name,notes
Ізмаїльський міськрайонний суд,Одеська область,Ізмаїльський район,,
Подільський районний суд,Одеська область,Подільський район,,
Роздільнянський районний суд,Одеська область,Роздільнянський район,,
Полтавський міськрайонний суд,Полтавська область,Полтавський район,,
Кременчуцький міськрайонний суд,Полтавська область,Кременчуцький район,,
Лубенський міськрайонний суд,Полтавська область,Лубенський район,,
Миргородський міськрайонний суд,Полтавська область,Миргородський район,,
Рівненський міський суд,Рівненська область,Рівненський район,Рівне,
Вараський районний суд,Рівненська область,Вараський район,,
Дубенський міськрайонний суд,Рівненська область,Дубенський район,,
Сарненський районний суд,Рівненська область,Сарненський район,,
Сумський міський суд,Сумська область,Сумський район,Суми,
Конотопський міськрайонний суд,Сумська область,Конотопський район,,
Охтирський міськрайонний суд,Сумська область,Охтирський район,,
Роменський міськрайонний суд,Сумська область,Роменський район,,
Шосткинський міськрайонний суд,Сумська область,Шосткинський район,,
Тернопільський міськрайонний суд,Тернопільська область,Тернопільський район,,
Кременецький районний суд,Тернопільська область,Кременецький район,,
Чортківський районний суд,Тернопільська область,Чортківський район,,
Харківський районний суд Харківської області,Харківська область,Харківський район,,
Богодухівський районний суд,Харківська область,Богодухівський район,,
Ізюмський міськрайонний суд,Харківська область,Ізюмський район,,
Красноградський районний суд,Харківська область,Красноградський район,,
Куп'янський міськрайонний суд,Харківська область,Куп'янський район,,
Лозівський міськрайонний суд,Харківська область,Лозівський район,,
Чугуївський міськрайонний суд,Харківська область,Чугуївський район,,
Херсонський міський суд,Херсонська область,Херсонський район,Херсон,
Бериславський районний суд,Херсонська область,Бериславський район,,
Генічеський районний суд,Херсонська область,Генічеський район,,
Каховський міськрайонний суд,Херсонська область,Каховський район,,
Скадовський районний суд,Херсонська область,Скадовський район,,
Хмельницький міськрайонний суд,Хмельницька область,Хмельницький район,,
Кам'янець-Подільський міськрайонний суд,Хмельницька область,Кам'янець-Подільський район,,
Шепетівський міськрайонний суд,Хмельницька область,Шепетівський район,,
Черкаський міський суд,Черкаська область,Черкаський район,Черкаси,
Золотоніський міськрайонний суд,Черкаська область,Золотоніський район,,
Уманський міськрайонний суд,Черкаська область,Умань,,
Чернівецький міський суд,Чернівецька область,Чернівецький район,Чернівці,
Дністровський районний суд,Чернівецька область,Дністровський район,,
Чернігівський міський суд,Чернігівська область,Чернігівський район,Чернігів,
Корюківський міськрайонний суд,Чернігівська область,Корюківський район,,
Ніжинський міськрайонний суд,Чернігівська область,Ніжинський район,,
Новгород-Сіверський районний суд,Чернігівська область,Новгород-Сіверський район,,
Прилуцький міськрайонний суд,Чернігівська область,Прилуцький район,,
Печерський районний суд міста Києва,місто Київ,,,Печерський район м. Києва
Шевченківський районний суд міста Києва,місто Київ,,,Шевченківський район м. Києва
Святошинський районний суд міста Києва,місто Київ,,,Святошинський район м. Києва
Оболонський районний суд міста Києва,місто Київ,,,Оболонський район м. Києва
Подільський районний суд міста Києва,місто Київ,,,Подільський район м. Києва
