name,full_name,type,address,phone,email,website,head_judge
Броварський міськрайонний суд,Броварський міськрайонний суд Київської області,міськрайонний,"м. Бровари, бул. Незалежності, 2",+380464641234,inbox@brovary.kyiv.court.gov.ua,brovary.kyiv.court.gov.ua,
Бучанський міськрайонний суд,Бучанський міськрайонний суд Київської області,міськрайонний,"м. Буча, вул. Енергетиків, 4",+380445941234,inbox@bucha.kyiv.court.gov.ua,bucha.kyiv.court.gov.ua,
Обухівський районний суд,Обухівський районний суд Київської області,районний,"м. Обухів, вул. Київська, 28",+380456841234,inbox@obukhiv.kyiv.court.gov.ua,obukhiv.kyiv.court.gov.ua,
Фастівський міськрайонний суд,Фастівський міськрайонний суд Київської області,міськрайонний,"м. Фастів, вул. Соборності, 15",+380457241234,inbox%40fastiv.kyiv.court.gov.ua,fastiv.kyiv.court.gov.ua,
Вишгородський районний суд,Вишгородський районний суд Київської області,районний,"м. Вишгород, вул. Набережна, 2а",+380459441234,inbox@vyshhorod.kyiv.court.gov.ua,vyshhorod.kyiv.court.gov.ua,
Кропивницький міськрайонний суд,Кропивницький міськрайонний суд Кіровоградської області,міськрайонний,"м. Кропивницький, вул. Велика Перспективна, 41",+380522391234,inbox@kr.kr.court.gov.ua,kr.kr.court.gov.ua,
Голованівський районний суд,Голованівський районний суд Кіровоградської області,районний,"смт Голованівськ, вул. Соборна, 94",+380524541234,inbox@holovanivsk.kr.court.gov.ua,holovanivsk.kr.court.gov.ua,
Новоукраїнський районний суд,Новоукраїнський районний суд Кіровоградської області,районний,"м. Новоукраїнка, вул. Соборна, 139",+380552341234,inbox@novoukrainka.kr.court.gov.ua,novoukrainka.kr.court.gov.ua,
Олександрійський міськрайонний суд,Олександрійський міськрайонний суд Кіровоградської області,міськрайонний,"м. Олександрія, вул. Соборна, 48",+380523541234,inbox@oleksandriia.kr.court.gov.ua,oleksandriia.kr.court.gov.ua,
Сватівський районний суд,Сватівський районний суд Луганської області,районний,"м. Сватове, вул. Центральна, 59",+380645741234,inbox@svatove.lg.court.gov.ua,svatove.lg.court.gov.ua,
Сєвєродонецький міський суд,Сєвєродонецький міський суд Луганської області,міський,"м. Сєвєродонецьк, просп. Гвардійський, 43а",+380645451234,inbox@severodonetsk.lg.court.gov.ua,severodonetsk.lg.court.gov.ua,
Старобільський районний суд,Старобільський районний суд Луганської області,районний,"м. Старобільськ, пл. Радянська, 4",+380646441234,inbox@starobilsk.lg.court.gov.ua,starobilsk.lg.court.gov.ua,
Львівський міський суд,Львівський міський суд Львівської області,міський,"м. Львів, вул. Личаківська, 81",+380322971234,inbox@lv.lv.court.gov.ua,lv.lv.court.gov.ua,
Дрогобицький міськрайонний суд,Дрогобицький міськрайонний суд Львівської області,міськрайонний,"м. Дрогобич, вул. Трускавецька, 17",+380324341234,inbox@drohobych.lv.court.gov.ua,drohobych.lv.court.gov.ua,
Золочівський районний суд,Золочівський районний суд Львівської області,районний,"м. Золочів, вул. І.Франка, 26",+380324541234,inbox@zolochiv.lv.court.gov.ua,zolochiv.lv.court.gov.ua,
Самбірський міськрайонний суд,Самбірський міськрайонний суд Львівської області,міськрайонний,"м. Самбір, вул. Січових Стрільців, 2",+380323641234,inbox@sambir.lv.court.gov.ua,sambir.lv.court.gov.ua,
Стрийський міськрайонний суд,Стрийський міськрайонний суд Львівської області,міськрайонний,"м. Стрий, вул. Шевченка, 151",+380324541278,inbox@stryi.lv.court.gov.ua,stryi.lv.court.gov.ua,
Червоноградський міськрайонний суд,Червоноградський міськрайонний суд Львівської області,міськрайонний,"м. Червоноград, вул. Шевченка, 36",+380324741234,inbox@chervonohrad.lv.court.gov.ua,chervonohrad.lv.court.gov.ua,
Яворівський районний суд,Яворівський районний суд Львівської області,районний,"м. Яворів, вул. Шевченка, 48",+380324841234,inbox@yavoriv.lv.court.gov.ua,yavoriv.lv.court.gov.ua,
Миколаївський міський суд,Миколаївський міський суд Миколаївської області,міський,"м. Миколаїв, вул. Чкалова, 67",+380512581234,inbox@mk.mk.court.gov.ua,mk.mk.court.gov.ua,
Баштанський районний суд,Баштанський районний суд Миколаївської області,районний,"м. Баштанка, вул. Шевченка, 70",+380551641234,inbox@bashtanka.mk.court.gov.ua,bashtanka.mk.court.gov.ua,
Вознесенський міськрайонний суд,Вознесенський міськрайонний суд Миколаївської області,міськрайонний,"м. Вознесенськ, вул. Соборна, 26",+380551441234,inbox@voznesensk.mk.court.gov.ua,voznesensk.mk.court.gov.ua,
Первомайський міськрайонний суд,Первомайський міськрайонний суд Миколаївської області,міськрайонний,"м. Первомайськ, вул. Ленінська, 28",+380566151234,inbox@pervomaisk.mk.court.gov.ua,pervomaisk.mk.court.gov.ua,
Одеський міський суд,Одеський міський суд Одеської області,міський,"м. Одеса, вул. Жуковського, 27",+380482345678,inbox@od.od.court.gov.ua,od.od.court.gov.ua,
Балтський міськрайонний суд,Балтський міськрайонний суд Одеської області,міськрайонний,"м. Балта, вул. Леніна, 64",+380566641234,inbox@balta.od.court.gov.ua,balta.od.court.gov.ua,
Березівський районний суд,Березівський районний суд Одеської області,районний,"смт Березівка, вул. Інститутська, 1",+380566741234,inbox@berezivka.od.court.gov.ua,berezivka.od.court.gov.ua,
Білгород-Дністровський міськрайонний суд,Білгород-Дністровський міськрайонний суд Одеської області,міськрайонний,"м. Білгород-Дністровський, вул. Пушкінська, 47",+380566841234,inbox@bilhorod.od.court.gov.ua,bilhorod.od.court.gov.ua,
Болградський районний суд,Болградський районний суд Одеської області,районний,"м. Болград, вул. Леніна, 134",+380484141234,inbox@bolhrad.od.court.gov.ua,bolhrad.od.court.gov.ua,
Ізмаїльський міськрайонний суд,Ізмаїльський міськрайонний суд Одеської області,міськрайонний,"м. Ізмаїл, просп. Суворова, 83",+380484141256,inbox@izmail.od.court.gov.ua,izmail.od.court.gov.ua,
Подільський районний суд,Подільський районний суд Одеської області,районний,"м. Подільськ, вул. Соборна, 46",+380482341234,inbox@podilsk.od.court.gov.ua,podilsk.od.court.gov.ua,
Роздільнянський районний суд,Роздільнянський районний суд Одеської області,районний,"м. Роздільна, вул. Шевченка, 2",+380567041234,inbox@rozdilna.od.court.gov.ua,rozdilna.od.court.gov.ua,
Полтавський міськрайонний суд,Полтавський міськрайонний суд Полтавської області,міськрайонний,"м. Полтава, вул. Жовтнева, 40",+380532561234,inbox@poltava.pl.court.gov.ua,poltava.pl.court.gov.ua,
Кременчуцький міськрайонний суд,Кременчуцький міськрайонний суд Полтавської області,міськрайонний,"м. Кременчук, вул. Перемоги, 69",+380536641234,inbox@kremenchuk.pl.court.gov.ua,kremenchuk.pl.court.gov.ua,
Лубенський міськрайонний суд,Лубенський міськрайонний суд Полтавської області,міськрайонний,"м. Лубни, вул. Комінтерну, 34",+380536141234,inbox@lubny.pl.court.gov.ua,lubny.pl.court.gov.ua,
Миргородський міськрайонний суд,Миргородський міськрайонний суд Полтавської області,міськрайонний,"м. Миргород, вул. Гоголя, 128",+380535541234,inbox@myrhorod.pl.court.gov.ua,myrhorod.pl.court.gov.ua,
Рівненський міський суд,Рівненський міський суд Рівненської області,міський,"м. Рівне, вул. Київська, 75",+380362641234,inbox@rivne.rv.court.gov.ua,rivne.rv.court.gov.ua,
Вараський районний суд,Вараський районний суд Рівненської області,районний,"м. Вараш, вул. Першотравнева, 31",+380365641234,inbox@varash.rv.court.gov.ua,varash.rv.court.gov.ua,
Дубенський міськрайонний суд,Дубенський міськрайонний суд Рівненської області,міськрайонний,"м. Дубно, вул. Грушевського, 16а",+380362341234,inbox@dubno.rv.court.gov.ua,dubno.rv.court.gov.ua,
Сарненський районний суд,Сарненський районний суд Рівненської області,районний,"м. Сарни, вул. Пушкіна, 46",+380365241234,inbox@sarny.rv.court.gov.ua,sarny.rv.court.gov.ua,
Сумський міський суд,Сумський міський суд Сумської області,міський,"м. Суми, вул. Металургів, 3",+380542791234,inbox@sumy.sm.court.gov.ua,sumy.sm.court.gov.ua,
Конотопський міськрайонний суд,Конотопський міськрайонний суд Сумської області,міськрайонний,"м. Конотоп, вул. Садова, 15",+380554341234,inbox@konotop.sm.court.gov.ua,konotop.sm.court.gov.ua,
Охтирський міськрайонний суд,Охтирський міськрайонний суд Сумської області,міськрайонний,"м. Охтирка, вул. Миру, 16",+380544241234,inbox@okhtyrka.sm.court.gov.ua,okhtyrka.sm.court.gov.ua,
Роменський міськрайонний суд,Роменський міськрайонний суд Сумської області,міськрайонний,"м. Ромни, вул. Соборна, 1",+380545441234,inbox@romny.sm.court.gov.ua,romny.sm.court.gov.ua,
Шосткинський міськрайонний суд,Шосткинський міськрайонний суд Сумської області,міськрайонний,"м. Шостка, вул. Комсомольська, 1",+380544541234,inbox@shostka.sm.court.gov.ua,shostka.sm.court.gov.ua,
Тернопільський міськрайонний суд,Тернопільський міськрайонний суд Тернопільської області,міськрайонний,"м. Тернопіль, вул.Qualcomm, 2",+380352531234,inbox@ternopil.tr.court.gov.ua,ternopil.tr.court.gov.ua,
Кременецький районний суд,Кременецький районний суд Тернопільської області,районний,"м. Кременець, вул. Шевченка, 20",+380354541234,inbox@kremenets.tr.court.gov.ua,kremenets.tr.court.gov.ua,
Чортківський районний суд,Чортківський районний суд Тернопільської області,районний,"м. Чортків, вул. Незалежності, 1",+380354741234,inbox@chortkiv.tr.court.gov.ua,chortkiv.tr.court.gov.ua,
Харківський районний суд Харківської області,Харківський районний суд Харківської області,районний,"м. Харків, майдан Свободи, 6",+380577601234,inbox@kharkiv.kh.court.gov.ua,kharkiv.kh.court.gov.ua,
Богодухівський районний суд,Богодухівський районний суд Харківської області,районний,"м. Богодухів, вул. Сумська, 44",+380574641234,inbox@bohodukhiv.kh.court.gov.ua,bohodukhiv.kh.court.gov.ua,
Ізюмський міськрайонний суд,Ізюмський міськрайонний суд Харківської області,міськрайонний,"м. Ізюм, вул. Пушкінська, 3",+380574241234,inbox@izium.kh.court.gov.ua,izium.kh.court.gov.ua,
Красноградський районний суд,Красноградський районний суд Харківської області,районний,"м. Красноград, вул. Київська, 57",+380575341234,inbox@krasnohrad.kh.court.gov.ua,krasnohrad.kh.court.gov.ua,
Куп'янський міськрайонний суд,Куп'янський міськрайонний суд Харківської області,міськрайонний,"м. Куп'янськ, вул. Покровська, 16",+380574541234,inbox@kupiansk.kh.court.gov.ua,kupiansk.kh.court.gov.ua,
Лозівський міськрайонний суд,Лозівський міськрайонний суд Харківської області,міськрайонний,"м. Лозова, вул. Шевченка, 1",+380575741234,inbox@lozova.kh.court.gov.ua,lozova.kh.court.gov.ua,
Чугуївський міськрайонний суд,Чугуївський міськрайонний суд Харківської області,міськрайонний,"м. Чугуїв, вул. Жовтнева, 83",+380574741234,inbox@chuhuiv.kh.court.gov.ua,chuhuiv.kh.court.gov.ua,
Херсонський міський суд,Херсонський міський суд Херсонської області,міський,"м. Херсон, вул. Суворова, 113",+380552261234,inbox@kherson.ks.court.gov.ua,kherson.ks.court.gov.ua,
Бериславський районний суд,Бериславський районний суд Херсонської області,районний,"м. Берислав, вул. Леніна, 64",+380555341234,inbox@beryslav.ks.court.gov.ua,beryslav.ks.court.gov.ua,
Генічеський районний суд,Генічеський районний суд Херсонської області,районний,"м. Генічеськ, вул. Шевченка, 3",+380555441234,inbox@henichesk.ks.court.gov.ua,henichesk.ks.court.gov.ua,
Каховський міськрайонний суд,Каховський міськрайонний суд Херсонської області,міськрайонний,"м. Каховка, вул. Миру, 27",+380555641234,inbox@kakhovka.ks.court.gov.ua,kakhovka.ks.court.gov.ua,
Скадовський районний суд,Скадовський районний суд Херсонської області,районний,"м. Скадовськ, вул. Набережна, 72",+380555341290,inbox@skadovsk.ks.court.gov.ua,skadovsk.ks.court.gov.ua,
Хмельницький міськрайонний суд,Хмельницький міськрайонний суд Хмельницької області,міськрайонний,"м. Хмельницький, вул. Соборна, 8",+380382791234,inbox@khmelnytskyi.km.court.gov.ua,khmelnytskyi.km.court.gov.ua,
Кам'янець-Подільський міськрайонний суд,Кам'янець-Подільський міськрайонний суд Хмельницької області,міськрайонний,"м. Кам'янець-Подільський, вул. Зарванська, 6",+380384941234,inbox@kamianets.km.court.gov.ua,kamianets.km.court.gov.ua,
Шепетівський міськрайонний суд,Шепетівський міськрайонний суд Хмельницької області,міськрайонний,"м. Шепетівка, вул. Грушевського, 12",+380386841234,inbox@shepetivka.km.court.gov.ua,shepetivka.km.court.gov.ua,
Черкаський міський суд,Черкаський міський суд Черкаської області,міський,"м. Черкаси, бул. Шевченка, 205",+380472371234,inbox@cherkasy.ck.court.gov.ua,cherkasy.ck.court.gov.ua,
Золотоніський міськрайонний суд,Золотоніський міськрайонний суд Черкаської області,міськрайонний,"м. Золотоноша, вул. Шевченка, 56",+380473741234,inbox@zolotonosha.ck.court.gov.ua,zolotonosha.ck.court.gov.ua,
Уманський міськрайонний суд,Уманський міськрайонний суд Черкаської області,міськрайонний,"м. Умань, вул. Небесної Сотні, 31",+380474541234,inbox@uman.ck.court.gov.ua,uman.ck.court.gov.ua,
Чернівецький міський суд,Чернівецький міський суд Чернівецької області,міський,"м. Чернівці, вул. Хотинська, 43",+380372541234,inbox@chernivtsi.cv.court.gov.ua,chernivtsi.cv.court.gov.ua,
Дністровський районний суд,Дністровський районний суд Чернівецької області,районний,"м. Дністровськ, вул. Незалежності, 56",+380373741234,inbox@dnistrovsk.cv.court.gov.ua,dnistrovsk.cv.court.gov.ua,
Чернігівський міський суд,Чернігівський міський суд Чернігівської області,міський,"м. Чернігів, просп. Миру, 43",+380462791234,inbox@chernihiv.cn.court.gov.ua,chernihiv.cn.court.gov.ua,
Корюківський міськрайонний суд,Корюківський міськрайонний суд Чернігівської області,міськрайонний,"м. Корюківка, вул. Шевченка, 62",+380464641234,inbox@koriukivka.cn.court.gov.ua,koriukivka.cn.court.gov.ua,
Ніжинський міськрайонний суд,Ніжинський міськрайонний суд Чернігівської області,міськрайонний,"м. Ніжин, вул. Шевченка, 55",+380463141234,inbox@nizhyn.cn.court.gov.ua,nizhyn.cn.court.gov.ua,
Новгород-Сіверський районний суд,Новгород-Сіверський районний суд Чернігівської області,районний,"м. Новгород-Сіверський, вул. Шевченка, 26",+380464541234,inbox@novhorod.cn.court.gov.ua,novhorod.cn.court.gov.ua,
Прилуцький міськрайонний суд,Прилуцький міськрайонний суд Чернігівської області,міськрайонний,"м. Прилуки, вул. Київська, 201",+380466341234,inbox@pryluky.cn.court.gov.ua,pryluky.cn.court.gov.ua,
Печерський районний суд міста Києва,Печерський районний суд міста Києва,районний,"м. Київ, вул. Хрещатик, 42",+380442791234,inbox@pech.kyiv.court.gov.ua,pech.kyiv.court.gov.ua,
Шевченківський районний суд міста Києва,Шевченківський районний суд міста Києва,районний,"м. Київ, вул. Дегтярівська, 31а",+380442341234,inbox@shev.kyiv.court.gov.ua,shev.kyiv.court.gov.ua,
Святошинський районний суд міста Києва,Святошинський районний суд міста Києва,районний,"м. Київ, вул. Якуба Коласа, 11",+380444561234,inbox@sviat.kyiv.court.gov.ua,sviat.kyiv.court.gov.ua,
Оболонський районний суд міста Києва,Оболонський районний суд міста Києва,районний,"м. Київ, просп. Героїв Сталінграда, 18",+380444171234,inbox@obol.kyiv.court.gov.ua,obol.kyiv.court.gov.ua,
Подільський районний суд міста Києва,Подільський районний суд міста Києва,районний,"м. Київ, вул. Предславинська, 35/21",+380444255678,inbox@podil.kyiv.court.gov.ua,podil.kyiv.court.gov.ua,
